Location,Vaccinated,Percent
Malawi,"15,06,374",7.70%
Mauritania,"14,62,711",30.60%
Niger,"14,42,884",5.70%
Togo,"14,15,448",16.70%
Senegal,"14,15,371",8.20%
Kyrgyzstan,"13,44,180",20.30%
Latvia,"13,38,192",71.70%
Somalia,"13,05,856",8.00%
Slovenia,"12,61,366",60.70%
Albania,"12,50,672",43.50%
Bahrain,"12,24,705",70.00%
Botswana,"11,93,823",49.80%
Burkina Faso,"11,69,097",5.40%
Sierra Leone,"11,47,770",14.10%
Armenia,"10,45,611",35.20%
Mali,"10,21,729",4.90%
Liberia,"10,17,128",19.60%
Moldova,"9,89,897",24.60%
Mauritius,"9,54,272",74.90%
Bosnia and Herzegovina,"9,43,394",28.90%
Kosovo,"8,94,653",50.20%
Estonia,"8,54,854",64.50%
North Macedonia,"8,47,017",40.70%
Cameroon,"8,37,860",3.10%
Madagascar,"8,17,386",2.90%
Zambia,"8,06,611",4.30%
Jamaica,"7,46,969",25.10%
Republic of the Congo,"7,34,721",13.00%
Trinidad and Tobago,"7,34,538",52.30%
Cyprus,"6,84,088",76.30%
Timor-Leste,"6,72,455",50.00%
Fiji,"6,64,978",73.70%
Lesotho,"6,48,817",30.10%
Bhutan,"5,93,980",76.20%
Yemen,"5,88,626",1.90%
Central African Republic,"5,72,911",11.60%
Macau,"5,08,782",77.30%
Luxembourg,"4,75,998",75.00%
Malta,"4,64,756",90.00%
Guyana,"4,23,439",53.60%
Namibia,"4,18,004",16.20%
Brunei,"4,07,042",92.20%
Guinea-Bissau,"4,06,992",20.20%
Maldives,"3,97,615",73.10%
Eswatini,"3,74,633",32.00%
Democratic Republic of the Congo,"3,72,564",0.40%
Comoros,"3,41,102",38.40%
Cabo Verde,"3,21,577",57.20%
Gambia,"3,17,855",12.80%
Iceland,"3,07,884",83.50%
South Sudan,"2,96,056",2.60%
Papua New Guinea,"2,92,091",3.20%
Montenegro,"2,87,071",45.70%
Gabon,"2,84,889",12.50%
Northern Cyprus,"2,84,357",74.40%
Suriname,"2,64,930",44.80%
Chad,"2,54,847",1.50%
Equatorial Guinea,"2,51,474",17.30%
Belize,"2,32,515",57.40%
Solomon Islands,"1,95,262",27.70%
New Caledonia,"1,86,200",64.60%
French Polynesia,"1,76,934",62.60%
Bahamas,"1,60,505",40.40%
Barbados,"1,58,463",55.10%
Samoa,"1,42,433",71.20%
Djibouti,"1,30,425",13.00%
Haiti,"1,29,714",1.10%
Vanuatu,"1,09,176",34.70%
Curacao,"1,06,070",64.40%
Sao Tome and Principe,"88,983",39.80%
Aruba,"86,709",80.90%
Seychelles,"83,419",84.30%
Jersey,"82,183",81.30%
Tonga,"74,004",69.30%
Kiribati,"71,152",58.60%
Isle of Man,"69,222",81.00%
Antigua and Barbuda,"63,197",64.00%
Cayman Islands,"59,308",89.20%
Andorra,"57,709",74.60%
Saint Lucia,"57,018",30.90%
Guernsey,"54,146",85.40%
Bermuda,"46,695",75.20%
Grenada,"42,467",37.60%
Faroe Islands,"41,697",85.00%
Gibraltar,"41,356",122.80%
Greenland,"41,188",72.40%
Saint Vincent and the Grenadines,"34,138",30.70%
Turkmenistan,"32,240",0.50%
Dominica,"31,829",44.10%
Turks and Caicos Islands,"29,210",74.50%
Saint Kitts and Nevis,"27,984",52.30%
Sint Maarten,"27,592",63.50%
Liechtenstein,"26,673",69.70%
Monaco,"26,672",67.50%
San Marino,"24,570",72.20%
Caribbean Netherlands,"19,109",72.30%
British Virgin Islands,"18,753",61.60%
Cook Islands,"12,971",73.80%
Anguilla,"10,211",67.50%
Nauru,"7,764",71.40%
Burundi,"6,400",0.10%
Tuvalu,"6,230",52.20%
Wallis and Futuna,"6,151",55.40%
"Saint Helena, Ascension and Tristan da Cunha","4,361",71.80%
Falkland Islands,"2,632",75.60%
Montserrat,"1,826",36.70%
Niue,"1,184",73.20%
Tokelau,968,70.80%
Pitcairn Islands,47,100.00%
North Korea,0,0.00%
